sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
129_Citrobacter_koseri_DSM4596_DDA100_4394	1681	10318	1.4987648043678552	0.0870817249565022	71.38157894736842	24.347979323308273	88.16376879699249	12441	5.8630004	0.020000001
130_Escherichia_coli_DSM30083_DDA100_4275	1486	8941	1.4261962458711617	0.0	72.9678510998308	23.21489001692047	88.60236886632826	10736	5.8630004	0.020000001
131_Klebsiella_pneumoniae_ssp_ozaenae_ATCC25926_DDA100_5436	1659	9821	1.4050500599956373	0.06869697366474035	72.51530706908281	22.988434658915207	88.63875316964563	11695	5.8630004	0.020000001
132_Corynebacterium_diphtheriae_DSM43988_DDA100_4398	1108	7064	1.4374962265724052	0.23083173289998524	68.99942637056462	26.100139310005737	89.95329017454723	8553	5.8630004	0.020000001
133_Haemophilus_influenzae_DSM4690_DDA100_4378	987	6467	1.4171866498530195	0.15311771913468636	73.30357142857142	23.169642857142858	88.15178571428571	7743	5.8630004	0.020000001
134_Proteus_columbae_MN12_DDA100_5438	1224	5907	1.4467180138190954	0.10027239451211437	69.0565664556962	27.284414556962027	87.76700949367088	7193	5.8630004	0.020000001
135_Haemophilus_influenzae_DSM10000_DDA100_4456	910	5506	1.6054894638674693	0.16479704420021524	73.42594443333999	23.68578852688387	87.657405556666	6685	5.8630004	0.020000001
136_Corynebacterium_diphtheriae_DSM43989_DDA100_5256	1264	8638	1.5521174728882192	0.07406408913761256	69.78004663767567	26.173819877733663	89.2922417596269	10795	5.8630004	0.020000001
137_Proteus_mirabilis_718-91_DDA100_6490	1251	5745	1.503903656768082	0.10362955183362188	77.23980964204428	19.822056693565074	86.48872336023175	6778	5.8630004	0.020000001
138_Corynebacterium_diphtheriae_ssp_diphtheriae_DSM44123_DDA100_4330	1106	6909	1.4271147999882732	0.0994060011923946	69.84810126582278	25.459915611814342	90.32911392405063	8360	5.8630004	0.020000001
139_Haemophilus_influenzae_DSM10001_DDA100_4448	892	5122	1.3941808297914178	0.3287421038497258	72.79230941202772	24.010731052984575	88.18466353677621	6050	5.8630004	0.020000001
140_Pseudomonas_aeruginosa_ATCC33355_DDA100_6508	1571	9415	1.0452052580618312	0.12731725358859597	79.27259632697155	18.44436442203817	90.89665106229744	10671	5.8630004	0.020000001
141_Corynebacterium_pseudotuberculosis_DSM20689_DDA100_4344	1345	9953	1.482962833194561	0.04899461578569285	67.53321447058147	27.497555645022143	88.98602404095014	12361	5.8630004	0.020000001
