sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
098_Klebsiella_quasipneumoniae_ssp_similipneumoniae_DSM28212_DDA100_4372	1831	10268	1.5557965450524418	0.0732628189125804	71.96943180492357	23.74868743437172	87.7727219694318	12432	5.8630004	0.020000001	687942.0	1.0881756930005346	41202	1049	5301	11.497054466666668	5913	108.81756930005346	30.965668865212244
100_Stenotrophomonas_maltophilia_DSM50170_DDA100_4322	1532	8091	1.4624518042649417	0.1055428575770906	67.70681591658361	28.49037798052596	89.84129418078662	9740	5.8630004	0.018000001	3398940.5	1.0517656054233384	37469	968	5407	11.496965583333331	4026	105.17656054233385	38.05265772478887
102_Enterococcus_hirae_P25_2_DDA100_6504	1196	8842	1.4715646066159112	0.0770929175119887	75.49912652857499	20.78861991514849	84.50212128774645	10676	5.8630004	0.020000001	1107225.0	1.0628006584255236	39617	1027	5347	11.497628433333334	2651	106.28006584255236	45.115050924179556
107_Klebsiella_quasipneumoniae_ssp_quasipneumoniae_DSM28211_DDA100_4384	2091	11355	1.6107918766954346	0.0	70.39975273026994	25.195755202967234	86.17350092726149	13917	5.8630004	0.020000001	5435445.0	1.0233597452149503	42669	996	5366	11.497362883333333	5913	102.33597452149503	35.36276002029427
109_Escherichia_coli_DSM3871_DDA100_5326	1532	9361	1.4484733584599567	0.0	68.9236863279074	27.016153988983103	87.85665655752925	11501	5.8630004	0.020000001	593154.5	1.1290589724160005	37397	1052	5296	11.497232066666667	4594	112.90589724160004	33.34784501523727
110_Enterococcus_faecium_UW6203_DDA100_6506	1085	6583	1.3610113017714591	0.1022533363218575	77.86636623624231	19.2824334864373	84.23606898344744	7766	5.8630004	0.020000001	1016296.0	1.0684848517074454	39367	1037	5333	11.4975133	2877	106.84848517074454	37.71289537712895
111_Enterococcus_faecium_DSM20477_DDA100_4282	1068	6566	1.4494139096361789	0.0571159261170523	73.97013388259526	22.04771713010642	87.46996223824236	7929	5.8630004	0.020000001	3345030.0	1.05583023306239	37782	991	5371	11.497704433333332	2877	105.58302330623901	37.122002085505734
112_Enterococcus_faecalis_DSM20371_DDA100_5394	1063	6622	1.342873404414607	0.0879486126809938	73.83789684344583	22.0231056126626	89.73892477030839	7721	5.8630004	0.020000001	4005164.0	1.024017179693086	35689	942	5437	11.497864016666666	3240	102.40171796930859	32.808641975308646
114_Enterococcus_faecium_UW6713_DDA100_5420	975	6371	1.345969923190178	0.0975161657423759	72.51209854817422	23.83633963924329	88.59656841179059	7664	5.8630004	0.020000001	3240167.0	1.047147044846947	35645	969	5399	11.498233983333334	2877	104.7147044846947	33.889468196037534
115_Klebsiella_oxytoca_CCUG_15788_DDA100_5400	1531	8705	1.3103116430652848	0.0	68.76625659050967	27.3884007029877	89.16695957820738	10404	5.8630004	0.020000001	1297878.5	1.0860842353495694	35210	1006	5355	11.498489616666664	5789	108.60842353495694	26.44670927621351
